card name,synergy %
"Ulalek, Fused Atrocity",99
"Azlask, the Swelling Scourge",96
"Gishath, Sun's Avatar",94
"Shelob, Child of Ungoliant",92
Sol Ring,92
"Morophon, the Boundless",76
Captain N'ghathrod,75
Arcane Signet,73
Command Tower,71
"Urtet, Remnant of Memnarch",63
"Giada, Font of Hope",62
Tiamat,62
Swords to Plowshares,59
The Ur-Dragon,57
Herald's Horn,54
Path of Ancestry,51
"Kozilek, the Great Distortion",49
Cultivate,49
Farseek,49
Edgar Markov,47
Stomping Ground,47
Path to Exile,46
Heroic Intervention,45
Garruk's Uprising,43
Nature's Lore,42
Temple Garden,42
Breeding Pool,42
Rhythm of the Wild,41
Steam Vents,41
Ketria Triome,40
Cavern of Souls,40
Blood Crypt,39
Overgrown Tomb,39
Temur Ascendancy,38
Sacred Foundry,38
Three Visits,37
Kodama's Reach,37
Lightning Greaves,37
Reliquary Tower,37
Kindred Discovery,36
Counterspell,36
Watery Grave,36
Exotic Orchard,36
"Be'lakor, the Dark Master",35
Smothering Tithe,35
Teferi's Protection,35
Jetmir's Garden,35
Godless Shrine,34
Hallowed Fountain,34
Roaming Throne,33
The World Tree,33
Cyclonic Rift,32
Rhystic Study,31
Rampant Growth,31
"Miirym, Sentinel Wyrm",29
Ziatora's Proving Ground,29
Zagoth Triome,29
Dragon Tempest,28
"Atarka, World Render",28
Indatha Triome,28
Demonic Tutor,27
Blasphemous Act,27
The Great Henge,27
Call the Spirit Dragons,26
Beast Within,26
Three Tree City,26
Savai Triome,26
Unclaimed Territory,26
Dragonspeaker Shaman,25
Terror of the Peaks,25
Reflections of Littjara,25
Raugrin Triome,25
Secluded Courtyard,25
Xander's Lounge,25
"Lathliss, Dragon Queen",24
Akroma's Will,24
Chromatic Lantern,24
Cinder Glade,24
Spara's Headquarters,24
Spire Garden,24
Ureni of the Unwritten,23
Old Gnawbone,23
"Sarkhan, Soul Aflame",23
Yavimaya Coast,23
Shivan Reef,23
Birds of Paradise,22
Goldspan Dragon,22
Dragonlord's Servant,22
Swiftfoot Boots,22
Mirari's Wake,22
Rogue's Passage,22
Talisman of Dominance,22
Jungle Shrine,22
"Zhulodok, Void Gorger",21
Utvara Hellkite,21
Chaos Warp,21
Mana Drain,21
Vanquisher's Banner,21
Training Center,21
Caves of Koilos,21
Scourge of Valkas,20
"Klauth, Unrivaled Ancient",20
Ancient Copper Dragon,20
Dragonlord Dromoka,20
Generous Gift,20
Bojuka Bog,20
Patchwork Banner,20
Karplusan Forest,20
Llanowar Wastes,20
Underground River,20
Dracogenesis,19
