card name,synergy %
Teysa Karlov,92
"Sauron, the Dark Lord",92
The Necrobloom,89
Sol Ring,87
Meren of Clan Nel Toth,84
Gisa and Geralf,81
Arcane Signet,78
Command Tower,78
"Ziatora, the Incinerator",68
Swords to Plowshares,68
"Sidisi, Brood Tyrant",67
"Korvold, Fae-Cursed King",64
"Raffine, Scheming Seer",64
"Braids, Arisen Nightmare",59
Ignoble Hierarch,58
Sunken Hollow,57
Crumbling Necropolis,55
Smoldering Marsh,55
Savage Lands,54
Arcane Sanctum,54
Cinder Glade,53
Sakura-Tribe Elder,50
Ziatora's Proving Ground,50
Blasphemous Act,48
Woodland Cemetery,48
Opulent Palace,48
Isolated Chapel,48
Caves of Koilos,48
Eternal Witness,47
Path to Exile,47
Orzhov Signet,47
Dragonskull Summit,47
Ratadrabik of Urborg,46
Nomad Outpost,46
Counterspell,45
Talisman of Dominance,45
Overgrown Tomb,45
Talisman of Hierarchy,44
Cultivate,43
Dimir Signet,43
Godless Shrine,43
Prairie Stream,43
Stomping Ground,43
Kishla Skimmer,42
Assassin's Trophy,41
Bojuka Bog,41
Llanowar Wastes,41
Drowned Catacomb,41
Raffine's Tower,41
Hallowed Fountain,41
Hinterland Harbor,41
Rakdos Signet,40
Temple Garden,40
Sulfur Falls,40
Beast Within,39
Chaos Warp,39
Watery Grave,39
Blood Crypt,39
Breeding Pool,38
Reanimate,37
Rampant Growth,37
Talisman of Creativity,37
Sandsteppe Citadel,37
Indatha Triome,37
Terminate,36
Farseek,36
Zagoth Triome,36
Exotic Orchard,36
Xander's Lounge,36
Riveteers Ascendancy,35
Undergrowth Stadium,35
Sacred Foundry,35
"Kotis, Sibsig Champion",34
Vault of Champions,34
Battlefield Forge,34
"Wilhelt, the Rotcleaver",33
"Elas il-Kor, Sadistic Pilgrim",33
Anguished Unmaking,33
Izzet Signet,33
Talisman of Indulgence,33
Savai Triome,33
Steam Vents,33
Kheru Goldkeeper,32
Faithless Looting,32
Damn,32
Choked Estuary,32
Tainted Field,32
Clifftop Retreat,32
Temple of Silence,32
Canopy Vista,32
Despark,31
Eerie Ultimatum,31
Orzhov Basilica,31
Foreboding Landscape,31
Luxury Suite,31
"Muldrotha, the Gravetide",30
Void Rend,30
Talisman of Conviction,30
Glacial Fortress,30
Foreboding Ruins,30
Golgari Rot Farm,30
"Teval, the Balanced Scale",29
Birds of Paradise,29
Village Rites,29
Nature's Lore,29
Relic of Sauron,29
Ashnod's Altar,28
Cruel Celebrant,28
Dark Ritual,28
Skullclamp,28
Talisman of Progress,28
Solemn Simulacrum,27
Kodama's Reach,27
Boros Signet,27
Azorius Signet,27
Colossal Grave-Reaver,26
Viscera Seer,26
Blood Artist,26
Feed the Swarm,26
Zulaport Cutthroat,25
Putrefy,25
Lightning Greaves,25
Mayhem Devil,24
"Syr Konrad, the Grim",24
Deadly Dispute,24
Frantic Search,24
Negate,24
Rise of the Witch-king,24
Ruinous Ultimatum,24
Swiftfoot Boots,24
Kessig Wolf Run,24
Sun Titan,23
Dread Return,23
Animate Dead,23
Reliquary Tower,23
Gray Merchant of Asphodel,22
"Mahadi, Emporium Master",22
Llanowar Elves,22
Bedevil,22
Generous Gift,22
Moldervine Reclamation,22
Vault of the Archangel,22
Anger,21
Wight of the Reliquary,21
Arcane Denial,21
Boros Charm,21
An Offer You Can't Refuse,21
Toxic Deluge,21
Goblin Bombardment,21
"Urborg, Tomb of Yawgmoth",21
Fellwar Stone,21
Smothering Tithe,20
Rakdos Charm,20
Heroic Intervention,20
Three Visits,20
Mind Stone,20
Rhythm of the Wild,20
Golgari Signet,20
Cyclonic Rift,19
"Etali, Primal Conqueror",19
"Chainer, Nightmare Adept",19
"Elenda, the Dusk Rose",19
Bartolomé del Presidio,19
Diregraf Captain,19
Baleful Strix,19
Karmic Guide,19
Six,19
"Miirym, Sentinel Wyrm",19
Pitiless Plunderer,19
Grisly Salvage,19
Thrill of Possibility,19
Mortify,19
Buried Alive,19
Living Death,19
Phyrexian Arena,19
Will of the Sultai,18
Honest Rutstein,18
Wonder,18
Thalia and The Gitrog Monster,18
Reclamation Sage,18
Cankerbloom,18
Skull Prophet,18
Midnight Pathlighter,18
Accursed Marauder,18
Dovin's Veto,18
Commander's Sphere,18
Insidious Roots,18
Rhystic Study,18
Phyrexian Tower,18
