card name,synergy %
Command Tower,92
Teval's Judgment,83
Sol Ring,83
Colossal Grave-Reaver,81
"Yuma, Proud Protector",80
Life from the Loam,77
"Ureni, the Song Unending",76
Woodland Cemetery,74
Hinterland Harbor,74
Hedron Crab,73
Opulent Palace,73
Arcane Signet,72
Dreamroot Cascade,72
Conduit of Worlds,69
Wonder,68
"Glarb, Calamity's Augur",67
Farseek,66
Kishla Skimmer,65
Afterlife from the Loam,65
Victimize,65
Sunken Hollow,65
Foreboding Landscape,65
"Teval, the Balanced Scale",64
Stitcher's Supplier,64
Exotic Orchard,64
The Wise Mothman,62
Living Death,62
Llanowar Wastes,61
"Muldrotha, the Gravetide",60
Sakura-Tribe Elder,60
"Kotis, Sibsig Champion",59
Blood Crypt,58
Gravecrawler,57
Skull Prophet,57
Command Beacon,57
"Ob Nixilis, the Fallen",56
Phyrexian Reclamation,56
Harrow,56
River Kelpie,55
Welcome the Dead,55
Meren of Clan Nel Toth,54
Cephalid Coliseum,54
Ziatora's Proving Ground,54
Tear Asunder,53
Stomping Ground,53
Ripples of Undeath,52
Avenger of Zendikar,52
Six,52
Steward of the Harvest,52
Nyx Weaver,51
Floral Evoker,51
Putrefy,50
Rampant Growth,50
Cultivate,50
Temple Garden,50
Golgari Rot Farm,50
Timeless Witness,49
Terramorphic Expanse,49
Indatha Triome,49
"Lumra, Bellow of the Woods",48
Godless Shrine,48
"Teval, Arbiter of Virtue",47
Grapple with the Past,47
Fetid Pools,47
Darkwater Catacombs,47
Memorial to Folly,46
Jetmir's Garden,46
Lethal Scheme,45
Swords to Plowshares,44
"Sidisi, Brood Tyrant",43
Crypt of Agadeem,43
Ketria Triome,43
Springbloom Druid,42
Drownyard Temple,42
Kheru Goldkeeper,41
"Shigeki, Jukai Visionary",41
Diviner of Mist,41
Insidious Roots,41
Steam Vents,41
Hedge Shredder,40
Abraded Bluffs,40
The Gitrog Monster,39
"Jarad, Golgari Lich Lord",39
Dauthi Voidwalker,39
Myriad Landscape,39
Grisly Salvage,38
Treasure Cruise,38
Overgrown Tomb,38
Temple of Malady,38
Borborygmos Enraged,37
"Tasigur, the Golden Fang",37
Ignoble Hierarch,36
Path to Exile,36
Casualties of War,36
Haunted Mire,36
Forbidden Alchemy,35
Crawling Sensation,35
Lush Portico,35
Assassin's Trophy,34
Reanimate,34
Sacred Foundry,34
Frontier Bivouac,34
Commercial District,34
Satyr Wayfinder,33
Millikin,33
"Multani, Yavimaya's Avatar",33
Necromantic Selection,33
Dragonback Assault,33
Watery Grave,32
Breeding Pool,32
Verdant Catacombs,32
Zagoth Triome,32
Contaminated Aquifer,32
Raucous Theater,32
Aftermath Analyst,31
Noxious Gearhulk,31
Eternal Witness,31
Blasphemous Act,31
Sandsteppe Citadel,31
Spara's Headquarters,31
Hallowed Fountain,31
Eerie Ultimatum,30
Shadowy Backstreet,30
"Hazezon, Shaper of Sand",29
Call the Spirit Dragons,29
Misty Rainforest,29
Cinder Glade,29
The World Tree,29
"Betor, Ancestor's Voice",28
Anguished Unmaking,28
Dread Return,28
Polluted Delta,28
Amphin Mutineer,27
The Scarab God,27
"Omnath, Locus of Rage",27
"Tatyova, Benthic Druid",27
Felidar Retreat,27
Lord of Extinction,26
Ramunap Excavator,26
Lost Monarch of Ifnir,26
"Syr Konrad, the Grim",26
Disciple of Bolas,26
"Junji, the Midnight Sky",26
Essence Anchor,26
Temur Ascendancy,26
Underground Mortuary,26
Bountiful Landscape,26
Deathrite Shaman,25
Nature's Lore,25
Shifting Woodland,25
Undergrowth Stadium,25
Deceptive Landscape,25
Fabled Passage,25
Thalia and The Gitrog Monster,24
Beast Within,24
Frostcliff Siege,24
Field of the Dead,24
The Necrobloom,23
"Mina and Denn, Wildborn",23
Temur Battlecrier,23
"Yavimaya, Cradle of Growth",22
Scute Swarm,21
Valakut Exploration,21
Kessig Wolf Run,21
"Boseiju, Who Endures",21
Wight of the Reliquary,20
World Shaper,20
Crop Rotation,20
