card name,synergy %
"Firkraag, Cunning Instigator",96
Command Tower,92
"Eris, Roar of the Storm",90
Temur Ascendancy,90
Sol Ring,90
"Shiko and Narset, Unified",88
Ureni of the Unwritten,85
Arcane Signet,84
Tiamat,80
Farseek,80
"Atarka, World Render",77
Dragon Tempest,76
Rootbound Crag,76
Sulfur Falls,76
Riku of Many Paths,75
Hinterland Harbor,75
Rockfall Vale,75
Frontier Bivouac,75
"Lathliss, Dragon Queen",74
Broodcaller Scourge,72
"Sarkhan, Soul Aflame",72
Cinder Glade,72
Thundermane Dragon,70
Kodama's Reach,69
Beast Within,69
Blasphemous Act,69
Exotic Orchard,68
Parapet Thrasher,66
Haven of the Spirit Dragon,66
Karplusan Forest,66
Shivan Reef,65
Encroaching Dragonstorm,64
Yavimaya Coast,64
Deceptive Frostkite,62
Path of Ancestry,62
Hellkite Courser,61
Elemental Bond,61
Chaos Warp,61
Mosswort Bridge,61
"Miirym, Sentinel Wyrm",60
Hammerhead Tyrant,60
Scourge of the Throne,60
Bountiful Landscape,59
Become the Avalanche,58
"Silumgar, the Drifting Death",57
Dragonlord's Servant,57
"Nogi, Draco-Zealot",56
Dragonlord Atarka,56
Dragon's Hoard,56
Flooded Grove,56
Frontier Siege,55
"Teval, Arbiter of Virtue",54
Selvala's Stampede,54
"Ureni, the Song Unending",52
"Kotis, the Fangkeeper",51
Kessig Wolf Run,51
Thunderbreak Regent,50
Rapid Hybridization,50
Temple of the Dragon Queen,50
Garruk's Uprising,49
Call the Spirit Dragons,49
Mossfire Valley,49
"Atsushi, the Blazing Sky",48
Whirlwing Stormbrood,47
Reality Shift,46
Temple of Abandon,46
Sheltered Thicket,45
Fellwar Stone,44
Talisman of Creativity,43
Talisman of Impulse,43
Temple of Mystery,43
Evolving Wilds,42
Temur Battlecrier,41
Reflections of Littjara,41
Watery Grave,40
Terror of the Peaks,38
Swords to Plowshares,38
Breaching Dragonstorm,38
Hallowed Fountain,38
The Ur-Dragon,37
Dragonlord Dromoka,37
Migration Path,37
"Brudiclad, Telchor Engineer",36
Nature's Lore,36
Sacred Foundry,36
"Ganax, Astral Hunter",35
Cultivate,35
Leyline Tyrant,34
"Keiga, the Tide Star",34
Spit Flame,34
Rivaz of the Claw,33
Steel Hellkite,33
Rhythm of the Wild,33
Ketria Triome,33
Overgrown Tomb,33
Raugrin Triome,33
"Eshki, Temur's Roar",32
Zagoth Triome,32
Territorial Hellkite,31
Vengeful Ancestor,31
"Morophon, the Boundless",31
Steam Vents,31
Blood Crypt,31
Stomping Ground,31
Dragonmaster Outcast,30
Scourge of Valkas,30
Zenith Festival,30
Breeding Pool,30
Bloomvine Regent,29
Goldspan Dragon,29
Utvara Hellkite,29
Rampant Growth,29
Maelstrom of the Spirit Dragon,29
Dragonspeaker Shaman,28
Opportunistic Dragon,28
Frostcliff Siege,28
Temple Garden,28
Mystic Monastery,28
Savage Ventmaw,27
Rapacious Dragon,27
Nesting Dragon,27
Heroic Intervention,27
Morphic Pool,27
Hidetsugu and Kairi,26
Crux of Fate,26
Three Visits,26
Sunken Hollow,26
Glacial Fortress,26
Stormbreath Dragon,25
Old Gnawbone,25
Storm's Wrath,25
Opulent Palace,25
Drowned Catacomb,25
Godless Shrine,25
"Rith, Liberated Primeval",24
Dracogenesis,24
Carnelian Orb of Dragonkind,24
Talisman of Dominance,24
The World Tree,24
Jetmir's Garden,24
Glorybringer,23
"Gadrak, the Crown-Scourge",23
Twinflame Tyrant,23
Wrathful Red Dragon,23
Talisman of Progress,23
Training Center,23
Rejuvenating Springs,23
Balefire Dragon,22
Path to Exile,22
Counterspell,22
Reliquary Tower,22
Sea of Clouds,22
Spire Garden,22
"Dragonhawk, Fate's Tempest",21
Scavenger Regent,21
Lightning Greaves,21
Mistrise Village,21
Indatha Triome,21
Prairie Stream,21
Ziatora's Proving Ground,21
"Betor, Kin to All",20
Birds of Paradise,20
Thrakkus the Butcher,20
Harbinger of the Hunt,20
"Klauth, Unrivaled Ancient",20
Draconic Lore,20
Whirlwind of Thought,20
Herd Heirloom,20
Taurean Mauler,19
Stormshriek Feral,19
Two-Headed Hellkite,19
"Ramos, Dragon Engine",19
Earthquake Dragon,19
Bladewing the Risen,19
Dragonback Assault,19
Azorius Signet,19
Will of the Abzan,18
Bojuka Bog,18
Talisman of Conviction,18
Generous Gift,17
Assassin's Trophy,17
Smuggler's Surprise,17
Urza's Incubator,17
Dimir Signet,17
Teferi's Protection,16
An Offer You Can't Refuse,16
Reanimate,16
Mox Jasper,16
Boros Signet,15
Eshki Dragonclaw,14
Smothering Tithe,14
Stubborn Denial,14
Eerie Ultimatum,14
Skyshroud Claim,14
Dragonstorm Globe,14
Cyclonic Rift,13
Fell the Profane,13
Arcane Denial,12
Deadly Rollick,12
Dark Ritual,12
Jeskai Revelation,12
Ruinous Ultimatum,12
Breach the Multiverse,12
