card name,synergy %
Teysa Karlov,99
Kaalia of the Vast,94
Scion of the Ur-Dragon,94
Celestial Kirin,86
Sol Ring,84
"Ojutai, Soul of Winter",79
Command Tower,76
"O-Kagachi, Vengeful Kami",74
Brion Stoutarm,73
Arcane Signet,71
"Keiga, the Tide Star",60
The Ur-Dragon,59
Swords to Plowshares,58
"Kokusho, the Evening Star",55
"Millicent, Restless Revenant",51
"Dromoka, the Eternal",51
"Junji, the Midnight Sky",51
"Miirym, Sentinel Wyrm",50
Cultivate,49
Ratadrabik of Urborg,48
Kodama's Reach,48
"Kura, the Boundless Sky",47
"Kairi, the Swirling Sky",46
"Ao, the Dawn Sky",46
Farseek,46
Path to Exile,44
"Kyodai, Soul of Kamigawa",43
"Atsushi, the Blazing Sky",43
Godless Shrine,42
"Jugan, the Rising Star",40
"Ryusei, the Falling Star",39
The Kami War,39
Isolated Chapel,36
Orzhov Signet,35
The Jolly Balloon Man,34
"Cadric, Soul Kindler",34
Temple Garden,34
Nomad Outpost,34
Rampant Growth,33
Boros Signet,33
Caves of Koilos,33
Sacred Foundry,33
Jungle Shrine,33
The World Tree,33
The Ever-Changing 'Dane,32
"Atarka, World Render",32
Counterspell,32
Exotic Orchard,32
Indatha Triome,32
Overgrown Tomb,32
Clifftop Retreat,31
Hallowed Fountain,31
Blood Crypt,30
Savai Triome,29
Ketria Triome,29
Prairie Stream,28
Stomping Ground,28
Battlefield Forge,28
Nature's Lore,27
Talisman of Hierarchy,27
Sandsteppe Citadel,27
Zagoth Triome,27
Arcane Sanctum,27
Call the Spirit Dragons,26
Boros Charm,26
Anguished Unmaking,26
Lightning Greaves,26
Dragon Tempest,26
Talisman of Conviction,26
Raugrin Triome,26
Path of Ancestry,26
Breeding Pool,26
Opulent Palace,26
Mystic Monastery,26
Jetmir's Garden,26
Frontier Bivouac,26
Swiftfoot Boots,25
Spara's Headquarters,25
Ziatora's Proving Ground,25
Seaside Citadel,25
Watery Grave,25
Smothering Tithe,24
Dragonlord Dromoka,24
