card name,synergy %
Command Tower,93
"Xira, the Golden Sting",87
"Ognis, the Dragon's Lash",83
Sol Ring,83
"Korvold, Gleeful Glutton",77
Arcane Signet,77
"Henzie ""Toolbox"" Torre",75
"Bhaal, Lord of Murder",73
"Omnath, Locus of All",70
Ignoble Hierarch,64
"Vazi, Keen Negotiator",63
Exotic Orchard,63
Savage Lands,57
Cinder Glade,55
Ziatora's Proving Ground,55
"Miirym, Sentinel Wyrm",54
Sakura-Tribe Elder,51
Smoldering Marsh,51
Farseek,48
Kresh the Bloodbraided,47
Victimize,43
Stomping Ground,43
Overgrown Tomb,43
Blasphemous Act,42
Rampant Growth,40
Blood Crypt,40
Cultivate,39
Beast Within,39
"Coram, the Undertaker",36
Tiamat,36
Eternal Witness,36
Assassin's Trophy,36
Twisted Landscape,36
Birds of Paradise,35
Terminate,35
Nature's Lore,34
Evolving Wilds,34
Solemn Simulacrum,33
Riveteers Overlook,33
Woodland Cemetery,33
"Rith, Liberated Primeval",32
Garruk's Uprising,32
Undergrowth Stadium,32
Chaos Warp,31
Jetmir's Garden,31
The World Tree,31
Temur Ascendancy,30
Dragonskull Summit,30
Spire Garden,30
Verdant Catacombs,30
Luxury Suite,30
"Junji, the Midnight Sky",29
"Ramos, Dragon Engine",29
Swords to Plowshares,29
Lightning Greaves,29
Path of Ancestry,29
Bloodstained Mire,29
Wooded Foothills,29
Dragonlord Dromoka,28
Riveteers Ascendancy,28
Anger,28
Kodama's Reach,28
Greater Good,28
Kessig Wolf Run,28
Ketria Triome,28
Terramorphic Expanse,28
Rockfall Vale,28
"Chainer, Nightmare Adept",27
Spara's Headquarters,27
"Korvold, Fae-Cursed King",26
"Korlessa, Scale Singer",26
Mayhem Devil,26
Rootbound Crag,26
Llanowar Wastes,26
The Ur-Dragon,25
"Prossh, Skyraider of Kher",25
Two-Headed Hellkite,25
Faithless Looting,25
Bojuka Bog,25
Indatha Triome,25
Xander's Lounge,25
"Morophon, the Boundless",24
"Etali, Primal Storm",24
Disciple of Bolas,24
Pitiless Plunderer,24
Deadly Dispute,24
Three Visits,24
Skullclamp,24
Reliquary Tower,24
Temple Garden,24
Zagoth Triome,24
Savai Triome,24
Temple of Malady,24
"Syr Konrad, the Grim",23
Viscera Seer,23
Jungle Shrine,23
Breeding Pool,23
"Teneb, the Harvester",22
"Braids, Arisen Nightmare",22
"Etali, Primal Conqueror",22
Reanimate,22
Ashnod's Altar,22
Myriad Landscape,22
Frontier Bivouac,22
Steam Vents,22
Raugrin Triome,22
Call the Spirit Dragons,21
"Atsushi, the Blazing Sky",21
"Mahadi, Emporium Master",21
"Sarkhan, Soul Aflame",21
"Silumgar, the Drifting Death",21
"Lozhan, Dragons' Legacy",21
Scion of the Ur-Dragon,21
Swiftfoot Boots,21
Rhythm of the Wild,21
Sacred Foundry,21
Mossfire Valley,21
Smothering Tithe,20
Old Gnawbone,20
Barrowgoyf,20
Heroic Intervention,20
Godless Shrine,20
Raffine's Tower,20
Shadowblood Ridge,20
Crumbling Necropolis,20
Ancient Silver Dragon,19
Mirkwood Bats,19
Noxious Gearhulk,19
Accursed Marauder,19
Village Rites,19
Industrial Advancement,19
Opulent Palace,19
Nomad Outpost,19
Sandsteppe Citadel,19
"Mr. Orfeo, the Boulder",18
Ravenous Chupacabra,18
Archon of Cruelty,18
Polygoyf,18
Ancient Gold Dragon,18
Path to Exile,18
Chandra's Ignition,18
Fellwar Stone,18
Ureni of the Unwritten,17
Pyrogoyf,17
Zurgo and Ojutai,17
Honest Rutstein,17
Gluttonous Hellkite,17
Goldspan Dragon,17
"Goreclaw, Terror of Qal Sisma",17
Zulaport Cutthroat,17
Faeburrow Elder,17
Counterspell,17
Life's Legacy,17
Goblin Bombardment,17
"Yavimaya, Cradle of Growth",17
Talisman of Resilience,17
Treeshaker Chimera,16
Brawn,16
Stitcher's Supplier,16
Tireless Provisioner,16
Woodfall Primus,16
Buried Alive,16
Living Death,16
Tarmogoyf Nest,16
Slimefoot and Squee,15
"O-Kagachi, Vengeful Kami",15
Blood Artist,15
Archpriest of Shadows,15
"Juri, Master of the Revue",15
Ancient Brass Dragon,15
Malakir Rebirth,15
Rise of the Witch-king,15
The Reaver Cleaver,15
Leyline of the Guildpact,15
Kindred Discovery,15
Phyrexian Tower,15
Mosswort Bridge,15
"Boseiju, Who Endures",15
Talisman of Impulse,15
"Indoraptor, the Perfect Hybrid",14
Riveteers Charm,14
Artifact Mutation,14
Grisly Salvage,14
Final Act,14
Eerie Ultimatum,14
Phyrexian Altar,14
"Urborg, Tomb of Yawgmoth",14
Rogue's Passage,14
Talisman of Indulgence,14
Timeless Lotus,14
Toxic Deluge,13
Commander's Sphere,13
Bootleggers' Stash,13
Fist of Suns,13
Evolutionary Leap,13
Moldervine Reclamation,13
"Betor, Kin to All",12
Rhystic Study,12
Cyclonic Rift,12
Harrow,12
Ruinous Ultimatum,12
Diabolic Intent,12
The Skullspore Nexus,12
Deathreap Ritual,12
Mirari's Wake,12
"Grist, the Hunger Tide",12
Sarkhan Unbroken,12
"Takenuma, Abandoned Mire",12
Golgari Signet,12
Demonic Tutor,11
Putrefy,11
Deflecting Swat,11
Teferi's Protection,11
Entomb,11
Anguished Unmaking,11
Primevals' Glorious Rebirth,11
Maskwood Nexus,11
Warstorm Surge,11
Ripples of Undeath,11
Revel in Riches,11
"Sivitri, Dragon Master",11
Dakmor Salvage,11
Chromatic Lantern,11
Thrill of Possibility,10
Corrupted Conviction,10
Void Rend,10
Altar of Dementia,10
Annie Joins Up,10
Animate Dead,10
Golgari Germination,10
Gruul Signet,10
Rakdos Signet,10
Vampiric Tutor,9
Grapple with the Past,9
Big Score,9
Generous Gift,9
Fling,9
Culling Ritual,9
Bala Ged Recovery,9
Crux of Fate,9
Birthing Pod,9
The Great Henge,9
Cauldron of Souls,9
Maelstrom Nexus,9
The Kami War,9
Birthing Ritual,9
Awakening Zone,9
High Market,9
Spinerock Knoll,9
Lapis Orb of Dragonkind,9
"Neriv, Heart of the Storm",8
Deadly Rollick,8
Kolaghan's Command,8
Growth Spiral,8
Boros Charm,8
Kazuul's Fury,8
Negate,8
Revitalizing Repast,8
Blasphemous Edict,8
Maelstrom Pulse,8
Brass's Bounty,8
Altar of the Goyf,8
Black Market Connections,8
Leyline of Mutation,8
Deadbridge Chant,8
Dictate of Erebos,8
Doubling Season,8
"Liliana, Death's Majesty",8
Shifting Woodland,8
Temple of the False God,8
"Ureni, the Song Unending",7
Worldly Tutor,7
Abrupt Decay,7
Crop Rotation,7
Dark Ritual,7
Nasty End,7
Entish Restoration,7
Bedevil,7
Abzan Charm,7
An Offer You Can't Refuse,7
Mana Drain,7
Vandalblast,7
Urza's Ruinous Blast,7
Dread Return,7
Genesis Ultimatum,7
Rishkar's Expertise,7
Breach the Multiverse,7
Conduit of Worlds,7
Parallel Lives,7
Sneak Attack,7
Treasure Vault,7
Enlightened Tutor,6
Jeska's Will,6
Unite the Coalition,6
Return of the Wildspeaker,6
Brokers Charm,6
Rushed Rebirth,6
Sultai Charm,6
Tear Asunder,6
Eldritch Evolution,6
Farewell,6
Blood Money,6
Skyshroud Claim,6
Doors of Durin,6
Impact Tremors,6
Insidious Roots,6
Rain of Riches,6
Shadow in the Warp,6
Phyrexian Reclamation,6
Dragon Tempest,6
Phyrexian Arena,6
"Dihada, Binder of Wills",6
"Nicol Bolas, Dragon-God",6
Tranquil Thicket,6
Raging Ravine,6
Forgotten Cave,6
Thought Vessel,6
Nature's Claim,5
Unexpected Windfall,5
Brainstorm,5
Damnation,5
Flare of Cultivation,5
Syphon Mind,5
Find // Finality,5
Decimate,5
Life from the Loam,5
Roiling Dragonstorm,5
Bastion of Remembrance,5
Elemental Bond,5
Grave Pact,5
Myth Unbound,5
Guardian Project,5
Simic Signet,5
Dragon's Hoard,5
Disa the Restless,2
"Vaevictis Asmadi, the Dire",2
