card name,synergy %
"Nashi, Moon's Legacy",96
Nine-Fingers Keene,95
"Teval, the Balanced Scale",94
"Omnath, Locus of All",92
"Tatsunari, Toad Rider",90
Command Tower,86
"Kadena, Slinking Sorcerer",78
Sol Ring,69
Arcane Signet,63
"Henry Wu, InGen Geneticist",58
"Jodah, the Unifier",57
"Archelos, Lagoon Mystic",56
Exotic Orchard,53
"Kenrith, the Returned King",49
"Cecily, Haunted Mage // Othelm, Sigardian Outcast",46
Opulent Palace,43
"Xavier Sal, Infested Captain",40
Farseek,39
Cultivate,39
Zagoth Triome,38
Overgrown Tomb,36
Breeding Pool,35
Watery Grave,34
Thalia and The Gitrog Monster,33
Counterspell,33
Eternal Witness,32
Swords to Plowshares,32
The World Tree,32
Beast Within,31
Reliquary Tower,31
Faeburrow Elder,30
Evolving Wilds,30
"Sidisi, Brood Tyrant",29
"Damia, Sage of Stone",29
"Tatyova, Benthic Druid",29
Growth Spiral,29
Spara's Headquarters,29
"Muldrotha, the Gravetide",28
Nature's Lore,28
Rampant Growth,28
Ketria Triome,28
Assassin's Trophy,27
Birds of Paradise,26
Bojuka Bog,26
Temple Garden,26
Jetmir's Garden,26
Indatha Triome,26
Sunken Hollow,26
Verdant Catacombs,26
Void Rend,25
Kodama's Reach,25
Misty Rainforest,25
Ziatora's Proving Ground,25
Hinterland Harbor,25
Stomping Ground,25
Rejuvenating Springs,24
Woodland Cemetery,24
Hallowed Fountain,24
Terramorphic Expanse,24
Sakura-Tribe Elder,23
Ruinous Ultimatum,23
Villainous Wealth,23
Undergrowth Stadium,23
Yavimaya Coast,23
Path of Ancestry,23
Godless Shrine,23
Llanowar Wastes,23
Abzan Charm,22
Polluted Delta,22
Simic Growth Chamber,22
Steam Vents,22
"Omnath, Locus of Creation",21
"Syr Konrad, the Grim",21
Frontier Bivouac,21
Golgari Rot Farm,21
Jungle Shrine,21
Raffine's Tower,21
Foreboding Landscape,21
Raugrin Triome,21
Kheru Goldkeeper,20
"Azusa, Lost but Seeking",20
Three Visits,20
Annie Joins Up,20
Xander's Lounge,20
Seaside Citadel,20
"Rayami, First of the Fallen",19
"Rienne, Angel of Rebirth",19
Honest Rutstein,19
Scute Swarm,19
Path to Exile,19
Eerie Ultimatum,19
Swiftfoot Boots,19
Maelstrom Nexus,19
Savai Triome,19
Crumbling Necropolis,19
Morphic Pool,19
Dimir Aqueduct,19
Teval's Judgment,18
"Rocco, Cabaretti Caterer",18
Ramunap Excavator,18
Maelstrom Archangel,18
"Aragorn, the Uniter",18
"Omnath, Locus of Rage",18
Sultai Charm,18
"Yavimaya, Cradle of Growth",18
Chromatic Lantern,18
Sandsteppe Citadel,18
Drowned Catacomb,18
