name,type,mana_cost,colors,produced_mana,power,tough,keywords,text,legal,rank,png,art,url,usd,usd_foil,eur,avg_synergy
Teysa Karlov,Legendary Creature — Human Advisor,4.0,"['B', 'W']",[],2,4,[],"If a creature dying causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Creature tokens you control have vigilance and lifelink.",1,1145,https://cards.scryfall.io/png/front/c/d/cd14f1ce-7fcd-485c-b7ca-01c5b45fdc01.png?1689999296,https://cards.scryfall.io/art_crop/front/c/d/cd14f1ce-7fcd-485c-b7ca-01c5b45fdc01.jpg?1689999296,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F505594%3Fpage%3D1,1.18,1.75,0.86,99.0
"Nekusar, the Mindrazer",Legendary Creature — Zombie Wizard,5.0,"['B', 'R', 'U']",[],2,4,[],"At the beginning of each player's draw step, that player draws an additional card.
Whenever an opponent draws a card, Nekusar deals 1 damage to that player.",1,3683,https://cards.scryfall.io/png/front/4/a/4afdc65d-3c97-47af-83fa-df340389802e.png?1689999186,https://cards.scryfall.io/art_crop/front/4/a/4afdc65d-3c97-47af-83fa-df340389802e.jpg?1689999186,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F504084%3Fpage%3D1,1.12,2.70,0.81,99.0
"Korvold, Fae-Cursed King",Legendary Creature — Dragon Noble,5.0,"['B', 'G', 'R']",[],4,4,['Flying'],"Flying
Whenever Korvold enters or attacks, sacrifice another permanent.
Whenever you sacrifice a permanent, put a +1/+1 counter on Korvold and draw a card.",1,2825,https://cards.scryfall.io/png/front/9/2/92ea1575-eb64-43b5-b604-c6e23054f228.png?1571197150,https://cards.scryfall.io/art_crop/front/9/2/92ea1575-eb64-43b5-b604-c6e23054f228.jpg?1571197150,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F198424%3Fpage%3D1,8.65,10.98,12.93,99.0
Rivaz of the Claw,Legendary Creature — Lizard Warlock,3.0,"['B', 'R']","['B', 'G', 'R', 'U', 'W']",3,3,['Menace'],"Menace
{T}: Add two mana in any combination of colors. Spend this mana only to cast Dragon creature spells.
Once during each of your turns, you may cast a Dragon creature spell from your graveyard.
Whenever you cast a Dragon creature spell from your graveyard, it gains ""When this creature dies, exile it.""",1,2515,https://cards.scryfall.io/png/front/9/a/9a47573a-601e-4738-acef-16118289f939.png?1673308061,https://cards.scryfall.io/art_crop/front/9/a/9a47573a-601e-4738-acef-16118289f939.jpg?1673308061,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F283421%3Fpage%3D1,2.74,2.29,0.55,99.0
"Omnath, Locus of All",Legendary Creature — Phyrexian Elemental,5.0,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",4,4,[],"If you would lose unspent mana, that mana becomes black instead.
At the beginning of your first main phase, look at the top card of your library. You may reveal that card if it has three or more colored mana symbols in its mana cost. If you do, add three mana in any combination of its colors and put it into your hand. If you don't reveal it, put it into your hand.",1,3900,https://cards.scryfall.io/png/front/3/3/33d94ecf-758b-4f68-a7be-6bf3ff1047f4.png?1709720836,https://cards.scryfall.io/art_crop/front/3/3/33d94ecf-758b-4f68-a7be-6bf3ff1047f4.jpg?1709720836,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F484557%3Fpage%3D1,0.26,0.38,0.23,99.0
"Ulalek, Fused Atrocity",Legendary Creature — Eldrazi,5.0,[],[],2,5,['Devoid'],"Devoid (This card has no color.)
Whenever you cast an Eldrazi spell, you may pay {C}{C}. If you do, copy all spells you control, then copy all other activated and triggered abilities you control. You may choose new targets for the copies. (Mana abilities can't be copied.)",1,4869,https://cards.scryfall.io/png/front/f/d/fdad1b0e-d3cc-4d76-ae7e-fee12558cf2c.png?1735676761,https://cards.scryfall.io/art_crop/front/f/d/fdad1b0e-d3cc-4d76-ae7e-fee12558cf2c.jpg?1735676761,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F552426%3Fpage%3D1,0.53,0.47,0.66,99.0
"Ghyrson Starn, Kelermorph",Legendary Creature — Tyranid Human,3.0,"['R', 'U']",[],3,2,"['Three Autostubs', 'Ward']","Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Three Autostubs — Whenever another source you control deals exactly 1 damage to a permanent or player, Ghyrson Starn deals 2 damage to that permanent or player.",1,3117,https://cards.scryfall.io/png/front/f/a/fa7349d9-c82f-4cf8-a852-92168d1f4966.png?1673309394,https://cards.scryfall.io/art_crop/front/f/a/fa7349d9-c82f-4cf8-a852-92168d1f4966.jpg?1673309394,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F285866%3Fpage%3D1,18.76,,12.58,99.0
"Klauth, Unrivaled Ancient",Legendary Creature — Dragon,7.0,"['G', 'R']","['B', 'G', 'R', 'U', 'W']",4,4,"['Flying', 'Haste']","Flying, haste
Whenever Klauth attacks, add X mana in any combination of colors, where X is the total power of attacking creatures. Spend this mana only to cast spells. Until end of turn, you don't lose this mana as steps and phases end.",1,1963,https://cards.scryfall.io/png/front/7/f/7f5cf828-17b2-4105-9a9a-ee0ab720c2ee.png?1636131321,https://cards.scryfall.io/art_crop/front/7/f/7f5cf828-17b2-4105-9a9a-ee0ab720c2ee.jpg?1636131321,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F243778%3Fpage%3D1,,32.89,,99.0
"Bhaal, Lord of Murder",Legendary Creature — God,5.0,"['B', 'G', 'R']",[],4,4,['Goad'],"As long as your life total is less than or equal to half your starting life total, Bhaal has indestructible.
Whenever another nontoken creature you control dies, put a +1/+1 counter on target creature and goad it.",1,13609,https://cards.scryfall.io/png/front/8/8/88b11da8-f9af-4ef3-9bc2-c28f0a8a5dd1.png?1674137437,https://cards.scryfall.io/art_crop/front/8/8/88b11da8-f9af-4ef3-9bc2-c28f0a8a5dd1.jpg?1674137437,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272646%3Fpage%3D1,0.09,0.15,0.14,99.0
Command Tower,Land,0.0,[],"['B', 'G', 'R', 'U', 'W']",0,0,[],{T}: Add one mana of any color in your commander's color identity.,1,2,https://cards.scryfall.io/png/front/5/f/5fc770b6-03ac-45c3-a2ca-bd508096384e.png?1743206097,https://cards.scryfall.io/art_crop/front/5/f/5fc770b6-03ac-45c3-a2ca-bd508096384e.jpg?1743206097,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F623982%3Fpage%3D1,0.21,,0.19,98.0
The Ur-Dragon,Legendary Creature — Dragon Avatar,9.0,"['B', 'G', 'R', 'U', 'W']",[],10,10,"['Flying', 'Eminence']","Eminence — As long as The Ur-Dragon is in the command zone or on the battlefield, other Dragon spells you cast cost {1} less to cast.
Flying
Whenever one or more Dragons you control attack, draw that many cards, then you may put a permanent card from your hand onto the battlefield.",1,2443,https://cards.scryfall.io/png/front/1/0/10d42b35-844f-4a64-9981-c6118d45e826.png?1689999317,https://cards.scryfall.io/art_crop/front/1/0/10d42b35-844f-4a64-9981-c6118d45e826.jpg?1689999317,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F484935%3Fpage%3D1,61.76,70.65,35.00,98.0
"Morophon, the Boundless",Legendary Creature — Shapeshifter,7.0,[],[],6,6,['Changeling'],"Changeling (This card is every creature type.)
As Morophon enters, choose a creature type.
Spells of the chosen type you cast cost {W}{U}{B}{R}{G} less to cast. This effect reduces only the amount of colored mana you pay.
Other creatures you control of the chosen type get +1/+1.",1,1470,https://cards.scryfall.io/png/front/8/4/84238335-e08c-421c-b9b9-70a679ff2967.png?1689995411,https://cards.scryfall.io/art_crop/front/8/4/84238335-e08c-421c-b9b9-70a679ff2967.jpg?1689995411,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F504115%3Fpage%3D1,5.03,7.20,4.10,98.0
"Liesa, Shroud of Dusk",Legendary Creature — Angel,5.0,"['B', 'W']",[],5,5,"['Flying', 'Lifelink']","Rather than pay {2} for each previous time you've cast this spell from the command zone this game, pay 2 life that many times.
Flying, lifelink
Whenever a player casts a spell, they lose 2 life.",1,4927,https://cards.scryfall.io/png/front/e/3/e32453a1-1fd9-4bda-aaa8-7c287e4c2587.png?1608911200,https://cards.scryfall.io/art_crop/front/e/3/e32453a1-1fd9-4bda-aaa8-7c287e4c2587.jpg?1608911200,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F226145%3Fpage%3D1,0.63,1.64,0.65,98.0
